round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32467506,21.64,2562625.2900000005,6816831.800000002,4254206.510000002,3.915909090909091,30,22
32470139,1.16,2471798.3499999996,0,-2471798.3499999996,0,107,0
32470166,3.25,2575172.47,2209276.17,-365896.3000000003,2.2072727272727275,115,11
32470189,1.41,3161899.1600000015,0,-3161899.1600000015,0,127,0
32470227,1.11,3485863.6600000025,100249.61,-3385614.0500000026,1.0550000000000002,116,2
32470255,1,3623870.7800000035,0,-3623870.7800000035,0,101,0
32470285,1.18,4451139.750000002,0,-4451139.750000002,0,105,0
32470303,3.87,4060443.4899999998,5183814.35,1123370.8599999999,2.241333333333334,105,15
32470329,4.04,3345892.400000001,4907900.41,1562008.0099999993,2.5115,121,20
32470369,1.53,2332171.1499999994,243195.18000000002,-2088975.9699999995,1.2166666666666668,107,3
32470409,1.23,2246555.4699999993,46121.98,-2200433.4899999993,1.03,103,1
32470438,1.3,2084402.069999999,0,-2084402.069999999,0,101,0
32470463,1.35,2314746.6499999985,35110.51,-2279636.1399999987,1.15,105,1
32470491,1.22,2222500.949999999,0,-2222500.949999999,0,99,0
32470517,11.83,2514420.27,6453370.549999999,3938950.279999999,3.440689655172414,103,29
32470547,1.26,2558136.919999999,84783.12,-2473353.799999999,1.095,100,2
32470608,1.04,2588483.7099999995,200000.0,-2388483.7099999995,1.0,104,1
32470635,3.52,2244715.0099999993,2478443.87,233728.8600000008,2.1407692307692305,97,13
32470654,23.18,2472804.609999999,5792922.23,3320117.6200000015,3.684666666666667,103,30
32470695,1.25,1836233.8899999987,0,-1836233.8899999987,0,84,0
32470777,1.44,2312986.4800000014,357034.17,-1955952.3100000015,1.1833333333333333,100,3
32470804,2.12,2907688.909999999,1189527.5699999998,-1718161.3399999994,1.4088888888888889,106,9
32470832,4.54,3882878.35,5674357.97,1791479.6199999996,2.4370833333333333,113,24
32470871,2.34,1893349.4899999993,751059.86,-1142289.6299999994,1.682857142857143,103,7
32470909,1.64,2684425.2600000007,0,-2684425.2600000007,0,104,0
32470943,1.19,3025040.150000001,94050.29,-2930989.860000001,1.03,105,1
32470972,31,3357946.8100000005,11600754.489999998,8242807.679999998,3.67,100,30
32471008,1.37,2533767.73,462091.1,-2071676.63,1.1749999999999998,90,2
32471094,1.4,3555530.7199999993,273026.39,-3282504.329999999,1.15,100,2
32471121,2.79,4243559.29,2142612.54,-2100946.75,1.8912499999999999,102,16
32471152,1.32,4277537.010000001,46188.48,-4231348.53,1.12,107,1
32471188,1.72,4812027.5500000045,92997.17,-4719030.380000005,1.135,102,2
32471220,1.75,4046739.810000001,770844.3400000001,-3275895.4700000007,1.32,112,3
32471254,1.25,5359103.510000004,0,-5359103.510000004,0,109,0
32471286,2.29,5633706.12,1804514.9500000002,-3829191.17,1.8754545454545453,109,11
32471313,1.47,6852541.549999997,118617.7,-6733923.849999997,1.25,116,1
32471347,1.27,3805565.2,24623.41,-3780941.79,1.21,102,1
32471379,1.46,6809949.759999998,146334.47999999998,-6663615.2799999975,1.245,101,2
32471409,1.54,4904541.739999998,71971.95999999999,-4832569.779999998,1.105,101,2
32471433,2.11,6961430.260000002,2197975.23,-4763455.030000001,1.5275,97,4
32471466,1.68,7636075.17,114255.01,-7521820.16,1.37,106,2
32471502,2.92,2362001.11,2097108.44,-264892.6699999999,2.0221428571428572,96,14
32471534,3.29,5455890.22,1500849.4800000002,-3955040.7399999993,2.098888888888889,105,18
32471569,1.45,3704904.290000002,0,-3704904.290000002,0,94,0
32471610,1.13,7090983.149999998,0,-7090983.149999998,0,90,0
32471638,1.08,6727286.220000003,0,-6727286.220000003,0,85,0
32471663,1.03,8796666.660000002,0,-8796666.660000002,0,83,0
